,lat,lng,cluster
1266,35.21091617,126.8334857,9
1983,35.2127493,126.83401338,9
571,35.21091617,126.8334857,9
782,35.212281820152086,126.8339971052254,9
1216,35.21091617,126.8334857,9
297,35.21133279,126.83387454,9
1297,35.21230488,126.83218022,9
1976,35.2127493,126.83401338,9
775,35.21133279,126.83387454,9
44,35.21091615,126.83231913,9
1966,35.2127493,126.83401338,9
603,35.21133279,126.83390232,9
46,35.21230488,126.83218022,9
1330,35.21094394,126.83351347,9
762,35.21091615,126.83231913,9
1408,35.21091615,126.83231913,9
315,35.21091617,126.8334857,9
1410,35.21250605320084,126.83457664389312,9
702,35.21091617,126.8334857,9
1528,35.21230488,126.83218022,9
1524,35.21091615,126.83231913,9
191,35.21219382,126.83462445,9
361,35.21238564093246,126.83454160212854,9
1157,35.21094394,126.83354125,9
1583,35.21230488,126.83218022,9
1464,35.21094394,126.83354125,9
725,35.21250605320084,126.83457664389312,9
1584,35.21250605320084,126.83457664389312,9
1772,35.2127493,126.83401338,9
116,35.2127493,126.83401338,9
1463,35.21091617,126.8334857,9
1073,35.21230488,126.83218022,9
413,35.21250605320084,126.83457664389312,9
239,35.21230488,126.83218022,9
1155,35.21091617,126.8334857,9
108,35.212281820152086,126.8339971052254,9
649,35.21230488,126.83218022,9
997,35.21091615,126.83231913,9
1237,35.21133279,126.83390232,9
1859,35.18661597406043,126.83647930796552,10
1981,35.19266833,126.83926342,10
1677,35.19227943923591,126.83886497775578,10
1519,35.18930754,126.83593046,10
1006,35.19227943923591,126.83886497775578,10
2033,35.18661597406043,126.83647930796552,10
1930,35.18661597406043,126.83647930796552,10
799,35.18947419,126.83595824,10
1387,35.19261275,126.8374858,10
83,35.18930754,126.83593046,10
944,35.19227943923591,126.83886497775578,10
699,35.18930754,126.83593046,10
453,35.21513813,126.84637334,11
1033,35.2137498,126.8470593,11
397,35.21384304797752,126.84614466408028,11
1085,35.213000542302176,126.846106155788,11
916,35.21513813,126.84637334,11
930,35.2142771,126.84556788,11
1032,35.21361053,126.84642893,11
1108,35.21511036,126.84637334,11
322,35.21438822,126.84673444,11
426,35.21513813,126.84637334,11
427,35.21411046,126.84581786,11
1179,35.21346519495023,126.84530108224976,11
1000,35.21377716,126.84573454,11
1001,35.21377716,126.84573454,11
1147,35.21513813,126.84637334,11
